"Dispositif","Date de début","Date de fin","Acronyme","Intitulé","Pays d'implantation","Zone géographique","Unités porteuses","Porteur(s) Sud","Porteur(s) IRD","Institution(s) Sud partenaire(s)","Pays des institutions partenaires","Commentaire"
"JEAI",2024,2026,"AMAWE","Social vulnerability in the Central Amazon floodplains under a changing hydroclimate and environment","Brésil","Amérique latine et Caraïbes","LEGOS","Ayan Santos Fleischmann","Fabrice Papa","Mamirauá Institute for Sustainable Development (IDSM)","Brésil",
"JEAI",2022,2024,"PADI","Plastiques d’Abidjan : Devenirs et impacts","Côte d'Ivoire","Afrique de l'Ouest et Centrale","MARBEC","Allassane Ouattara","Philippe Cecchi","Université Nangui Abrogoua (UNA)","Côte d'Ivoire",
"JEAI",2021,2024,"IGUELA","Fonctionnement écohydrologique de la lagune côtière Iguela : un écosystème pristine et vulnérable","Gabon","Afrique de l'Ouest et Centrale","LEMAR","Brice Koumba Mabert","Thomas Stieglitz; François Le Loch","Institut de Recherche en Sciences Humaines (IRSH); 
Institut de Recherches Agronomiques et Forestières (IRAF); 
Université des Sciences et Techniques de Masuku (USTM); 
Direction Générale des Ecosystèmes Aquatiques (DGEA); 
Agence Nationale des Parcs Nati",,"1 année en plus"
"JEAI",2023,2025,"PRO2GMA","Projet OGooué mangroves","Gabon","Afrique de l'Ouest et Centrale","MIO","Madi Guirema Abaker","Stéphane Mounier","Université des Sciences et Techniques de Masuku (USTM)","Gabon",
"JEAI",2024,2026,"EXTREM BIODIV VALOR","Biotechnologie et microorganismes extrêmophiles d’intérêts issus des Sources hydrothermales et salines côtières marocaines","Maroc","Méditerranée","MIO","Nawal Merghoub","Yannick Combet-Blanc; Marianne Quemeneur","l’Université Mohammed VI Polytechnique (UM6P); 
Moroccan Foundation for Advanced Science Innovation and Research (MAScIR)","Maroc;
Maroc",
"LMI",2022,2026,"LIMAQUA","African Interdisciplinary Laboratory in Sustainable; nutrition-sensitive Marine Aquaculture","Afrique du Sud","Afrique de l'Est, australe et Océan Indien","MARBEC","Brett MACEY","Maria DARIAS","Department of Forestry Fisheries and the Environment (DFFE)","Afrique du Sud",
"LMI",2018,2027,"LOTUS","Study center of the land-ocean-atmosphere regional coupled system","Viet Nam","Asie du Sud Est","LEGOS","Thanh NGO DUC","Marine HERRMANN","University of Science and Technology of Hanoi (USTH)","Viet Nam",
"LMI",2020,2024,"MIKAROKA","Observatoire de la biodiversité marine côtière et de ses usages à Madagascar","Madagascar","Afrique de l'Est; australe et océan Indien","ENTROPIE","Jamal MAHAFINA","Dominique PONTON; Mehdi ADJEROUD","Institut Halieutique des Sciences Marines (IHSM)","Madagascar",
"LMI",2021,2025,"SELAMAT","Sentinel Laboratory of the indonesian Marine biodiversity","Indonésie","Asie du Sud Est","MARBEC","Udhi E. Hernawan","Régis HOCDE","Research Center for Oceanography - National Research and Innovation Agency (RCO-BRIN)","Indonésie",
"LMI",2018,2027,"ECLAIRS2","Etudes intégrées du climat et de l'océan en Afrique de l’Ouest et réponses aux changements climatiques au Sénégal","Sénégal","Afrique de l'Ouest et Centrale","LOPS","Saïdou Moustapha SALL","Eric MACHU","Université Cheikh Anta Diop (UCAD)","Sénégal",
