"DS","Typologie Unité","Acronyme","Nom complet","DU_NOM Prénom","DU_Etablissement de rattachement","Tutelles","Implantation principale (ville)"
"OCEANS","FR","IPSL","Institut Pierre Simon Laplace","GODIN BEEKMANN Sophie","CNRS","Sorbonne université; CNRS; Université de Versailles Saint-Quentin; CEA; Ecole Polytechnique; Université Paris Est Créteil Val de Marne; Université de Paris; IRD","Guyancourt"
"OCEANS","UAR","PYTHEAS","Observatoire des sciences de l'Univers Institut Pythéas","BEUZIT Jean-luc","AMU","Aix-Marseille Université; CNRS; IRD","Marseille"
"OCEANS","UAR","ECCE TERRA","Observatoire des sciences de l'Univers ECCE TERRA","HUGUET Arnaud","CNRS","Sorbonne université; Muséum national d'histoire naturelle; CNRS; INRAE; IRD","Paris"
"OCEANS","UAR","IMAGO","Instrumentation; moyens analytiques; observatoires en géophysique et océanographie","BOURLES Bernard","IRD","IRD","Plouzané"
"OCEANS","UAR","IUEM","Institut universitaire européen de la mer","JEAN Frédéric","Université de Bretagne Occidentale","Université de Bretagne Occidentale; CNRS; IFREMER; IRD","Plouzané"
"OCEANS","UAR","OSU-R","Observatoire des sciences de l'Univers de la Réunion","FONTAINE Fabrice","Université de la Réunion","Université de la Réunion; CNRS; Météo France; IRD","St Denis de la Réunion"
"OCEANS","UMR","MIO","Institut méditerranéen d'océanographie","MICHOTEY Valérie","Aix-Marseille Université","Aix-Marseille Université; CNRS; Université de Toulon; iRD","Marseille"
"OCEANS","UMR","LEMAR","Laboratoire des sciences de l'environnement marin","SARTHOU Géraldine","CNRS","Université de Bretagne Occidentale; CNRS; IFREMER; IRD","Plouzané"
"OCEANS","UMR","LOPS","Laboratoire d'océanographie physique et spatiale","HUCK Thierry","IFREMER","Université de Bretagne Occidentale; CNRS; IFREMER; IRD","Plouzané"
"OCEANS","UMR","SECOPOL","Santé et Services des Ecosystèmes Polynésiens","MITTA Guillaume","IFREMER","Université de la Polynésie française; IFREMER; Institut Louis Malardé; IRD","Nouméa"
"OCEANS","UMR","LEGOS","Laboratoire d'études en géophysique et océanographie spatiales","MARIN Frédéric","IRD","Université Toulouse 3 Paul Sabatier; CNRS; CNES; IRD","Toulouse"
"OCEANS","UMR","MARBEC","Marine Biodiversity; Exploitation & Conservation","DAGORN Laurent","IRD","Université de Montpellier; CNRS; IFREMER; IRD","Sète"
"OCEANS","UMR","LOCEAN","Laboratoire d'océanographie et du climat : expérimentations et approches numériques","CHARRASSIN Jean-Benoît","MNHN","Sorbonne université; CNRS; MNHN; IRD","Paris"
"OCEANS","UMR","ENTROPIE","Ecologie marine tropicale des océans Pacifique et Indien","LE CORRE Matthieu","Université de la Réunion","Université de la Réunion; CNRS; Université de Nouvelle-Calédonie; IFREMER; IRD","St Denis de la Réunion; Nouméa"
"OCEANS","UMR-S","AMURE","Aménagement des usages des ressources et des espaces marins et littoraux","GUEGUEN-HALLOUET Gaëlle","CNRS","Université de Bretagne Occidentale; CNRS; IFREMER; IRD","Plouzané"
"OCEANS","UMR-S","LOG","Laboratoire d’océanologie et de géosciences","LOISEL Hubert","Université du Littoral - Côte d'Opale","Université Lille 1  - Sciences et technologies; CNRS; Université du Littoral - Côte d'Opale; IRD","Wimereux"
